name,mass,distance
HD 124330 b,238.37131,60.1977
HD 12484 b,947.1334,48.3367
HD 125271 b,3514.14627,39.3466
HD 125390 b,9165.5058,153.647
HD 125595 b,6.3566,28.1989
HD 125612 b,944.27564,57.6207
HD 125612 c,15.17685,57.6207
HD 125612 d,2352.38976,57.6207
HD 12648 b,622.9468,182.192
HD 126525 b,75.32571,37.6506
HD 12661 b,772.3269,37.8478
HD 12661 c,575.884,37.8478
HD 126614 b,119.96298,73.0961
HD 127506 b,26.61699,22.5279
HD 128311 b,562.24127,16.3292
HD 128311 c,1204.25787,16.3292
HD 128356 b,282.8687,26.1548
HD 129445 b,508.507,67.4386
HD 130322 b,365.49,31.8766
HD 131496 b,572.094,131.849
HD 13167 b,1052.0173,148.934
HD 13189 b,3480.2385,497.823
HD 132406 b,1709.9254,70.7832
HD 132563 b,473.547,105.155
HD 133131 A b,451.3186,51.4736
HD 133131 A c,133.4886,51.4736
HD 133131 B b,794.575,51.2993
HD 134060 b,10.1,24.0125
HD 134060 c,29.29,24.0125
HD 134987 b,511.7063,26.1804
HD 134987 c,260,26.1804
HD 135872 b,1880.61597,82.4251
HD 136118 b,4174.7703,51.4359
HD 136352 b,4.72,14.682
HD 136352 c,11.24,14.682
HD 136352 d,8.82,14.682
HD 136418 b,680.1562,105.168
HD 136925 b,266.97586,47.874
HD 13724 c,51.25631,43.465
HD 137388 b,63.566,40.4841
HD 137496 b,4.04,155.317
HD 137496 c,2434.5656,155.317
HD 13808 b,11.2,28.2305
HD 13808 c,9.96,28.2305
HD 13908 b,274.91,79.5515
HD 13908 c,1630.4,79.5515
HD 13931 b,699.226,47.3963
HD 139357 b,6315.52561,112.09
HD 1397 b,131.89945,79.5702
HD 14067 b,5001.77608,142.024
HD 140901 b,14.64775,15.2528
HD 140901 c,1685.33019,15.2528
HD 141004 b,13.63484,11.8148
HD 141399 b,143.34133,37.0169
HD 141399 c,422.7139,37.0169
HD 141399 d,375.0394,37.0169
HD 141399 e,209.7678,37.0169
HD 141937 b,3079.7727,33.3622
HD 142 A d,81.62789,26.1853
HD 142 b,395.51812,26.1853
HD 142 c,3521.33769,26.1853
HD 142022 A b,1411.1652,34.2802
HD 142245 b,975.7381,97.2305
HD 142415 b,530.7761,35.5318
HD 143105 b,384.5743,46.7789
HD 143361 b,1122.57556,68.5146
HD 144899 b,20.42286,115.665
HD 145377 b,1913.3366,53.4884
HD 145457 b,708.7609,135.292
HD 145675 c,1582.94652,17.9323
HD 145934 b,762.59821,227.881
HD 1461 b,6.44,23.4534
HD 1461 c,5.59,23.4534
HD 147018 b,674,40.4256
HD 147018 c,2080,40.4256
HD 147379 b,28.55,10.7643
HD 147513 b,385,12.9032
HD 14787 b,356.28743,119.137
HD 147873 b,1633.6462,109.055
HD 147873 c,731.009,109.055
HD 148156 b,270.144,57.1289
HD 148164 b,390.9309,77.1971
HD 148164 c,1640.0028,77.1971
HD 148427 b,413.179,71.3499
HD 149026 b,120.7754,75.8643
HD 149143 b,422.7139,73.2801
HD 149806 b,3878.07724,20.2727
HD 150010 b,762.78818,144.49
HD 1502 b,874.0325,190.953
HD 150706 b,861.28,28.2697
HD 151450 b,37.24604,43.6002
HD 151450 c,1634.10971,43.6002
HD 152079 b,845.74563,87.8888
